StudentID,StudyHours,Attendance,PreviousGrade,SleepHours,ExtraClasses,Result
S001,2,55,45,5,No,Fail
S002,6,85,72,7,Yes,Pass
S003,8,92,85,7,Yes,Pass
S004,1,40,38,4,No,Fail
S005,5,78,68,6,No,Pass
S006,7,88,80,8,Yes,Pass
S007,3,60,50,5,No,Fail
S008,4,70,62,6,Yes,Pass
S009,2,50,42,5,No,Fail
S010,9,95,90,8,Yes,Pass
S011,6,82,75,7,Yes,Pass
S012,3,58,48,4,No,Fail
S013,7,90,82,7,Yes,Pass
S014,4,65,55,5,No,Fail
S015,8,93,87,8,Yes,Pass
S016,2,45,40,4,No,Fail
S017,5,75,65,6,Yes,Pass
S018,6,80,70,7,No,Pass
S019,3,55,45,5,No,Fail
S020,7,87,78,7,Yes,Pass
S021,1,38,35,4,No,Fail
S022,8,91,84,8,Yes,Pass
S023,4,68,58,6,No,Fail
S024,5,77,67,6,Yes,Pass
S025,9,96,92,8,Yes,Pass
S026,2,52,44,5,No,Fail
S027,6,84,73,7,Yes,Pass
S028,3,62,52,5,No,Fail
S029,7,89,81,7,Yes,Pass
S030,4,72,63,6,Yes,Pass
S031,1,42,36,4,No,Fail
S032,8,94,86,8,Yes,Pass
S033,5,76,66,6,No,Pass
S034,2,48,41,5,No,Fail
S035,6,83,74,7,Yes,Pass
S036,3,57,47,5,No,Fail
S037,7,86,79,7,Yes,Pass
S038,4,69,60,6,No,Fail
S039,8,92,85,8,Yes,Pass
S040,5,79,69,7,Yes,Pass
